case,case_id,system,system_id,criterion,optimum,variant,span_l_m,qk_kN_m2,description,structural_system,section_type,geometry,materials,floor_buildup,qk_zul_gzt_kN_m2,w_app_mm,f1_Hz,acoustic_verified,GWP_struct [kg-CO2-eq/m2],GWP_total [kg-CO2-eq/m2],h_struct [m],h_total [m],m_struct [kN/m2],m_total [kN/m2],cost_struct [CHF/m2],cost_total [CHF/m2],geom_b,geom_h,geom_d,geom_ds,geom_c_nom,geom_dp,geom_c_nom_pt,geom_A_p,geom_e_support,geom_e_midspan,geom_l_x,geom_l_y,geom_Psx,geom_Psy,geom_pdx,geom_pdy,geom_Px_total,geom_Py_total,geom_b_w,geom_h_w,geom_h_c,geom_a_ribs,geom_s,geom_l0,geom_rebar_d,geom_rebar_s,geom_rebar_layers,geom_as_rebar,geom_a,geom_t2,geom_t3,geom_h_f,mat_readymixedconcrete_mech,mat_readymixedconcrete_product,mat_steelreinforcingbar_mech,mat_steelreinforcingbar_product,mat_prestressingsteel_mech,mat_prestressingsteel_product,mat_wood_mech,mat_wood_product,mat_connectortcc_mech,material_family,material_signature
Residential,residential,Rectangular concrete,res_rc_flat_walls,ULS,C20/25' + 'B500B,rc_rec,3,2,conventionally reinforced,"2-way, full continuity, walls",rc_rec,"section_type=rc_rec | b=1.0 | h=0.28874 | d=0.24443 | ds=0.24581 | c_nom=0.02 | x,u: d=9 mm, s=150 mm | x,o: d=6 mm, s=150 mm | y,u: d=9 mm, s=150 mm | y,o: d=6 mm, s=150 mm | shear: d=20 mm, s=150 mm, n=0",ReadyMixedConcrete: C20/25 (23) | SteelReinforcingBar: B500B (38),"Parkett 2-Schicht werkversiegelt, 11 mm: 11 mm | Glaswolle: 3 mm | Unterlagsboden Zement, 85 mm: 60 mm",,0.0494,42.8619,True,58.90367413190208,80.28767413190208,0.2887430842607372,0.3627430842607372,7.21857710651843,8.62897710651843,155.6377652101594,285.9887652101594,1.0,0.28874,0.24443,0.24581,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,C20/25,23,B500B,38,,,,,,Concrete,C20/25 | B500B
Residential,residential,Rectangular concrete,res_rc_flat_walls,ULS,C20/25' + 'B500B,rc_rec,5,2,conventionally reinforced,"2-way, full continuity, walls",rc_rec,"section_type=rc_rec | b=1.0 | h=0.26988 | d=0.22499 | ds=0.22691 | c_nom=0.02 | x,u: d=10 mm, s=150 mm | x,o: d=6 mm, s=150 mm | y,u: d=10 mm, s=150 mm | y,o: d=6 mm, s=150 mm | shear: d=20 mm, s=150 mm, n=0",ReadyMixedConcrete: C20/25 (23) | SteelReinforcingBar: B500B (38),"Parkett 2-Schicht werkversiegelt, 11 mm: 11 mm | Glaswolle: 3 mm | Unterlagsboden Zement, 85 mm: 60 mm",,0.4401,14.2851,True,56.27555598081111,77.6595559808111,0.269884493266568,0.343884493266568,6.7471123316642,8.1575123316642,155.9137241758057,286.2647241758057,1.0,0.26988,0.22499,0.22691,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,C20/25,23,B500B,38,,,,,,Concrete,C20/25 | B500B
Residential,residential,Rectangular concrete,res_rc_flat_walls,ULS,C20/25' + 'B500B,rc_rec,6,2,conventionally reinforced,"2-way, full continuity, walls",rc_rec,"section_type=rc_rec | b=1.0 | h=0.16 | d=0.11407 | ds=0.11462 | c_nom=0.02 | x,u: d=12 mm, s=150 mm | x,o: d=11 mm, s=150 mm | y,u: d=12 mm, s=150 mm | y,o: d=11 mm, s=150 mm | shear: d=20 mm, s=150 mm, n=0",ReadyMixedConcrete: C20/25 (23) | SteelReinforcingBar: B500B (38),"Parkett 2-Schicht werkversiegelt, 11 mm: 11 mm | Glaswolle: 3 mm | Unterlagsboden Zement, 85 mm: 60 mm",,3.153,5.3701,True,40.87702246493453,62.26102246493453,0.1600000002635385,0.2340000002635385,4.000000006588462,5.410400006588463,157.1346612918898,287.4856612918898,1.0,0.16,0.11407,0.11462,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,C20/25,23,B500B,38,,,,,,Concrete,C20/25 | B500B
Residential,residential,Rectangular concrete,res_rc_flat_walls,ULS,C20/25' + 'B500B,rc_rec,7,2,conventionally reinforced,"2-way, full continuity, walls",rc_rec,"section_type=rc_rec | b=1.0 | h=0.28371 | d=0.24192 | ds=0.24466 | c_nom=0.02 | x,u: d=14 mm, s=150 mm | x,o: d=8 mm, s=150 mm | y,u: d=14 mm, s=150 mm | y,o: d=8 mm, s=150 mm | shear: d=15 mm, s=150 mm, n=0",ReadyMixedConcrete: C20/25 (23) | SteelReinforcingBar: B500B (38),"Parkett 2-Schicht werkversiegelt, 11 mm: 11 mm | Glaswolle: 3 mm | Unterlagsboden Zement, 85 mm: 60 mm",,1.5272,7.7166,True,64.18379894577859,85.56779894577859,0.2837149721064772,0.3577149721064772,7.092874302661929,8.50327430266193,182.9045199227363,313.2555199227363,1.0,0.28371,0.24192,0.24466,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,C20/25,23,B500B,38,,,,,,Concrete,C20/25 | B500B
Residential,residential,Rectangular concrete,res_rc_flat_walls,ULS,C20/25' + 'B500B,rc_rec,8,2,conventionally reinforced,"2-way, full continuity, walls",rc_rec,"section_type=rc_rec | b=1.0 | h=0.32069 | d=0.28121 | ds=0.28347 | c_nom=0.02 | x,u: d=14 mm, s=150 mm | x,o: d=9 mm, s=150 mm | y,u: d=14 mm, s=150 mm | y,o: d=9 mm, s=150 mm | shear: d=13 mm, s=150 mm, n=0",ReadyMixedConcrete: C20/25 (23) | SteelReinforcingBar: B500B (38),"Parkett 2-Schicht werkversiegelt, 11 mm: 11 mm | Glaswolle: 3 mm | Unterlagsboden Zement, 85 mm: 60 mm",,1.964,6.7885,True,71.69080983101603,93.07480983101603,0.3206888028206853,0.3946888028206854,8.017220070517133,9.427620070517134,193.0681210691556,323.4191210691556,1.0,0.32069,0.28121,0.28347,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,C20/25,23,B500B,38,,,,,,Concrete,C20/25 | B500B
Residential,residential,Rectangular concrete,res_rc_flat_walls,ULS,C20/25' + 'B500B,rc_rec,10,2,conventionally reinforced,"2-way, full continuity, walls",rc_rec,"section_type=rc_rec | b=1.0 | h=0.18035 | d=0.15379 | ds=0.15331 | c_nom=0.02 | x,u: d=13 mm, s=150 mm | x,o: d=14 mm, s=150 mm | y,u: d=13 mm, s=150 mm | y,o: d=14 mm, s=150 mm | shear: d=0 mm, s=150 mm, n=0",ReadyMixedConcrete: C20/25 (23) | SteelReinforcingBar: B500B (38),"Parkett 2-Schicht werkversiegelt, 11 mm: 11 mm | Glaswolle: 3 mm | Unterlagsboden Zement, 85 mm: 60 mm",,18.27,2.2311,True,49.17301152217537,70.55701152217537,0.1803518661495624,0.2543518661495625,4.508796653739061,5.919196653739061,181.6608752084504,312.0118752084504,1.0,0.18035,0.15379,0.15331,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,C20/25,23,B500B,38,,,,,,Concrete,C20/25 | B500B
Residential,residential,Rectangular concrete,res_rc_flat_walls,SLS1,C20/25' + 'B500B,rc_rec,3,2,conventionally reinforced,"2-way, full continuity, walls",rc_rec,"section_type=rc_rec | b=1.0 | h=0.32234 | d=0.27782 | ds=0.27937 | c_nom=0.02 | x,u: d=9 mm, s=150 mm | x,o: d=6 mm, s=150 mm | y,u: d=9 mm, s=150 mm | y,o: d=6 mm, s=150 mm | shear: d=20 mm, s=150 mm, n=0",ReadyMixedConcrete: C20/25 (23) | SteelReinforcingBar: B500B (38),"Parkett 2-Schicht werkversiegelt, 11 mm: 11 mm | Glaswolle: 3 mm | Unterlagsboden Zement, 85 mm: 60 mm",,0.0385,48.5537,True,65.54495271032371,86.92895271032371,0.3223370205612607,0.3963370205612607,8.058425514031518,9.468825514031519,164.0561767333021,294.4071767333021,1.0,0.32234,0.27782,0.27937,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,C20/25,23,B500B,38,,,,,,Concrete,C20/25 | B500B
Residential,residential,Rectangular concrete,res_rc_flat_walls,SLS1,C20/25' + 'B500B,rc_rec,5,2,conventionally reinforced,"2-way, full continuity, walls",rc_rec,"section_type=rc_rec | b=1.0 | h=0.26988 | d=0.22457 | ds=0.22691 | c_nom=0.02 | x,u: d=11 mm, s=150 mm | x,o: d=6 mm, s=150 mm | y,u: d=11 mm, s=150 mm | y,o: d=6 mm, s=150 mm | shear: d=20 mm, s=150 mm, n=0",ReadyMixedConcrete: C20/25 (23) | SteelReinforcingBar: B500B (38),"Parkett 2-Schicht werkversiegelt, 11 mm: 11 mm | Glaswolle: 3 mm | Unterlagsboden Zement, 85 mm: 60 mm",,0.4401,14.2851,True,56.9867937641702,78.3707937641702,0.2698845764839869,0.343884576483987,6.747114412099674,8.157514412099674,159.1474669052514,289.4984669052514,1.0,0.26988,0.22457,0.22691,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,C20/25,23,B500B,38,,,,,,Concrete,C20/25 | B500B
Residential,residential,Rectangular concrete,res_rc_flat_walls,SLS1,C20/25' + 'B500B,rc_rec,6,2,conventionally reinforced,"2-way, full continuity, walls",rc_rec,"section_type=rc_rec | b=1.0 | h=0.33323 | d=0.30688 | ds=0.30989 | c_nom=0.02 | x,u: d=13 mm, s=150 mm | x,o: d=7 mm, s=150 mm | y,u: d=13 mm, s=150 mm | y,o: d=7 mm, s=150 mm | shear: d=0 mm, s=150 mm, n=0",ReadyMixedConcrete: C20/25 (23) | SteelReinforcingBar: B500B (38),"Parkett 2-Schicht werkversiegelt, 11 mm: 11 mm | Glaswolle: 3 mm | Unterlagsboden Zement, 85 mm: 60 mm",,0.5726,12.6012,True,71.10315865331222,92.48715865331222,0.3332287776277447,0.4072287776277447,8.330719440693617,9.741119440693618,182.2670753724519,312.6180753724519,1.0,0.33323,0.30688,0.30989,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,C20/25,23,B500B,38,,,,,,Concrete,C20/25 | B500B
Residential,residential,Rectangular concrete,res_rc_flat_walls,SLS1,C20/25' + 'B500B,rc_rec,7,2,conventionally reinforced,"2-way, full continuity, walls",rc_rec,"section_type=rc_rec | b=1.0 | h=0.16 | d=0.11377 | ds=0.11345 | c_nom=0.02 | x,u: d=13 mm, s=150 mm | x,o: d=13 mm, s=150 mm | y,u: d=13 mm, s=150 mm | y,o: d=13 mm, s=150 mm | shear: d=20 mm, s=150 mm, n=0",ReadyMixedConcrete: C20/25 (23) | SteelReinforcingBar: B500B (38),"Parkett 2-Schicht werkversiegelt, 11 mm: 11 mm | Glaswolle: 3 mm | Unterlagsboden Zement, 85 mm: 60 mm",,5.8421,3.9454,True,43.81045380676517,65.19445380676517,0.160000000192914,0.234000000192914,4.000000004822851,5.41040000482285,170.4721424787352,300.8231424787352,1.0,0.16,0.11377,0.11345,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,C20/25,23,B500B,38,,,,,,Concrete,C20/25 | B500B
Residential,residential,Rectangular concrete,res_rc_flat_walls,SLS1,C20/25' + 'B500B,rc_rec,8,2,conventionally reinforced,"2-way, full continuity, walls",rc_rec,"section_type=rc_rec | b=1.0 | h=0.58317 | d=0.53728 | ds=0.5391 | c_nom=0.02 | x,u: d=12 mm, s=150 mm | x,o: d=8 mm, s=150 mm | y,u: d=12 mm, s=150 mm | y,o: d=8 mm, s=150 mm | shear: d=20 mm, s=150 mm, n=0",ReadyMixedConcrete: C20/25 (23) | SteelReinforcingBar: B500B (38),"Parkett 2-Schicht werkversiegelt, 11 mm: 11 mm | Glaswolle: 3 mm | Unterlagsboden Zement, 85 mm: 60 mm",,0.5254,13.1246,True,118.2563596813714,139.6403596813714,0.5831749693692393,0.6571749693692392,14.57937423423098,15.98977423423098,234.6292368763674,364.9802368763674,1.0,0.58317,0.53728,0.5391,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,C20/25,23,B500B,38,,,,,,Concrete,C20/25 | B500B
