system,target,target_column,feature,spearman_rho,abs_spearman_rho,n
Rectangular concrete,gwp_struct,GWP_struct [kg-CO2-eq/m2],geom_h,0.9638229719983802,0.9638229719983802,400
Rectangular concrete,gwp_struct,GWP_struct [kg-CO2-eq/m2],h_total [m],0.9601649354069525,0.9601649354069525,400
Rectangular concrete,gwp_struct,GWP_struct [kg-CO2-eq/m2],h_struct [m],0.960125727731059,0.960125727731059,400
Rectangular concrete,gwp_struct,GWP_struct [kg-CO2-eq/m2],m_struct [kN/m2],0.9601231951778314,0.9601231951778314,400
Rectangular concrete,gwp_struct,GWP_struct [kg-CO2-eq/m2],m_total [kN/m2],0.9601214617579272,0.9601214617579272,400
Rectangular concrete,gwp_struct,GWP_struct [kg-CO2-eq/m2],geom_d,0.9547461464687291,0.9547461464687291,400
Rectangular concrete,gwp_struct,GWP_struct [kg-CO2-eq/m2],geom_ds,0.9533266340251711,0.9533266340251711,400
Rectangular concrete,gwp_struct,GWP_struct [kg-CO2-eq/m2],cost_struct [CHF/m2],0.9528262834064684,0.9528262834064684,400
Rectangular concrete,gwp_struct,GWP_struct [kg-CO2-eq/m2],cost_total [CHF/m2],0.9527692540971773,0.9527692540971773,400
Rectangular concrete,gwp_struct,GWP_struct [kg-CO2-eq/m2],qk_kN_m2,0.809424931717262,0.809424931717262,400
Rectangular concrete,gwp_struct,GWP_struct [kg-CO2-eq/m2],span_l_m,0.783719631118304,0.783719631118304,400
Rectangular concrete,gwp_struct,GWP_struct [kg-CO2-eq/m2],f1_Hz,0.16501625056775435,0.16501625056775435,400
Rectangular concrete,gwp_struct,GWP_struct [kg-CO2-eq/m2],w_app_mm,0.11437017317577812,0.11437017317577812,400
Rectangular concrete,gwp_total,GWP_total [kg-CO2-eq/m2],geom_h,0.9636267732777001,0.9636267732777001,400
Rectangular concrete,gwp_total,GWP_total [kg-CO2-eq/m2],h_total [m],0.9600548162406868,0.9600548162406868,400
Rectangular concrete,gwp_total,GWP_total [kg-CO2-eq/m2],m_total [kN/m2],0.9599860170657413,0.9599860170657413,400
Rectangular concrete,gwp_total,GWP_total [kg-CO2-eq/m2],h_struct [m],0.9599300645446618,0.9599300645446618,400
Rectangular concrete,gwp_total,GWP_total [kg-CO2-eq/m2],m_struct [kN/m2],0.9599275319914342,0.9599275319914342,400
Rectangular concrete,gwp_total,GWP_total [kg-CO2-eq/m2],geom_d,0.9545517005521922,0.9545517005521922,400
Rectangular concrete,gwp_total,GWP_total [kg-CO2-eq/m2],geom_ds,0.9531337813209727,0.9531337813209727,400
Rectangular concrete,gwp_total,GWP_total [kg-CO2-eq/m2],cost_total [CHF/m2],0.9529189560340663,0.9529189560340663,400
Rectangular concrete,gwp_total,GWP_total [kg-CO2-eq/m2],cost_struct [CHF/m2],0.9527658773617588,0.9527658773617588,400
Rectangular concrete,gwp_total,GWP_total [kg-CO2-eq/m2],qk_kN_m2,0.809424931717262,0.809424931717262,400
Rectangular concrete,gwp_total,GWP_total [kg-CO2-eq/m2],span_l_m,0.783719631118304,0.783719631118304,400
Rectangular concrete,gwp_total,GWP_total [kg-CO2-eq/m2],f1_Hz,0.1645410685138933,0.1645410685138933,400
Rectangular concrete,gwp_total,GWP_total [kg-CO2-eq/m2],w_app_mm,0.11482135643038636,0.11482135643038636,400
Rectangular concrete PT band.,gwp_struct,GWP_struct [kg-CO2-eq/m2],span_l_m,0.968378950522387,0.968378950522387,160
Rectangular concrete PT band.,gwp_struct,GWP_struct [kg-CO2-eq/m2],geom_l_x,0.968378950522387,0.968378950522387,160
Rectangular concrete PT band.,gwp_struct,GWP_struct [kg-CO2-eq/m2],geom_l_y,0.968378950522387,0.968378950522387,160
Rectangular concrete PT band.,gwp_struct,GWP_struct [kg-CO2-eq/m2],geom_ds,0.9629417099701734,0.9629417099701734,160
Rectangular concrete PT band.,gwp_struct,GWP_struct [kg-CO2-eq/m2],geom_d,0.9627881380509189,0.9627881380509189,160
Rectangular concrete PT band.,gwp_struct,GWP_struct [kg-CO2-eq/m2],geom_h,0.9609666631936034,0.9609666631936034,160
Rectangular concrete PT band.,gwp_struct,GWP_struct [kg-CO2-eq/m2],geom_dp,0.9609666631936034,0.9609666631936034,160
Rectangular concrete PT band.,gwp_struct,GWP_struct [kg-CO2-eq/m2],geom_e_support,-0.9609666631936034,0.9609666631936034,160
Rectangular concrete PT band.,gwp_struct,GWP_struct [kg-CO2-eq/m2],geom_e_midspan,0.9609666631936034,0.9609666631936034,160
Rectangular concrete PT band.,gwp_struct,GWP_struct [kg-CO2-eq/m2],h_total [m],0.9609201719176804,0.9609201719176804,160
Rectangular concrete PT band.,gwp_struct,GWP_struct [kg-CO2-eq/m2],m_struct [kN/m2],0.9609201719176804,0.9609201719176804,160
Rectangular concrete PT band.,gwp_struct,GWP_struct [kg-CO2-eq/m2],m_total [kN/m2],0.9609201719176804,0.9609201719176804,160
Rectangular concrete PT band.,gwp_struct,GWP_struct [kg-CO2-eq/m2],h_struct [m],0.960919456922577,0.960919456922577,160
Rectangular concrete PT band.,gwp_struct,GWP_struct [kg-CO2-eq/m2],cost_struct [CHF/m2],0.9342039558839292,0.9342039558839292,160
Rectangular concrete PT band.,gwp_struct,GWP_struct [kg-CO2-eq/m2],cost_total [CHF/m2],0.9342039558839292,0.9342039558839292,160
Rectangular concrete PT band.,gwp_struct,GWP_struct [kg-CO2-eq/m2],geom_Psx,0.9291506724792231,0.9291506724792231,160
Rectangular concrete PT band.,gwp_struct,GWP_struct [kg-CO2-eq/m2],geom_Psy,0.9291506724792231,0.9291506724792231,160
Rectangular concrete PT band.,gwp_struct,GWP_struct [kg-CO2-eq/m2],geom_Px_total,0.9291506724792231,0.9291506724792231,160
Rectangular concrete PT band.,gwp_struct,GWP_struct [kg-CO2-eq/m2],geom_Py_total,0.9291506724792231,0.9291506724792231,160
Rectangular concrete PT band.,gwp_struct,GWP_struct [kg-CO2-eq/m2],w_app_mm,-0.8545937563818139,0.8545937563818139,160
Rectangular concrete PT band.,gwp_struct,GWP_struct [kg-CO2-eq/m2],f1_Hz,0.3926104772710235,0.3926104772710235,160
Rectangular concrete PT band.,gwp_total,GWP_total [kg-CO2-eq/m2],span_l_m,0.968378950522387,0.968378950522387,160
Rectangular concrete PT band.,gwp_total,GWP_total [kg-CO2-eq/m2],geom_l_x,0.968378950522387,0.968378950522387,160
Rectangular concrete PT band.,gwp_total,GWP_total [kg-CO2-eq/m2],geom_l_y,0.968378950522387,0.968378950522387,160
Rectangular concrete PT band.,gwp_total,GWP_total [kg-CO2-eq/m2],geom_ds,0.9629417099701734,0.9629417099701734,160
Rectangular concrete PT band.,gwp_total,GWP_total [kg-CO2-eq/m2],geom_d,0.9627881380509189,0.9627881380509189,160
Rectangular concrete PT band.,gwp_total,GWP_total [kg-CO2-eq/m2],geom_h,0.9609666631936034,0.9609666631936034,160
Rectangular concrete PT band.,gwp_total,GWP_total [kg-CO2-eq/m2],geom_dp,0.9609666631936034,0.9609666631936034,160
Rectangular concrete PT band.,gwp_total,GWP_total [kg-CO2-eq/m2],geom_e_support,-0.9609666631936034,0.9609666631936034,160
Rectangular concrete PT band.,gwp_total,GWP_total [kg-CO2-eq/m2],geom_e_midspan,0.9609666631936034,0.9609666631936034,160
Rectangular concrete PT band.,gwp_total,GWP_total [kg-CO2-eq/m2],h_total [m],0.9609201719176804,0.9609201719176804,160
Rectangular concrete PT band.,gwp_total,GWP_total [kg-CO2-eq/m2],m_struct [kN/m2],0.9609201719176804,0.9609201719176804,160
Rectangular concrete PT band.,gwp_total,GWP_total [kg-CO2-eq/m2],m_total [kN/m2],0.9609201719176804,0.9609201719176804,160
Rectangular concrete PT band.,gwp_total,GWP_total [kg-CO2-eq/m2],h_struct [m],0.960919456922577,0.960919456922577,160
